MAL_ID,English name,Rating,Ranked,Episodes
304,Ah! My Goddess:The Movie,8,1355,26
305,Unknown,8,9929,26
306,Magical☆Shopping Arcade Abenobashi,8,2514,26
307,Adventures On Rainbow Pond,8,8189,39
308,Unknown,8,3869,26
309,Akahori's Heretical Hour Love Game,8,7523,26
310,Three Little Ghosts,8,8281,50
311,Unknown,8,3550,26
312,Unknown,8,5756,26
313,Aim for the Ace! (1979),7,4296,26
314,Unknown,8,4155,26
315,A Chinese Ghost Story,7,5919,26
316,"F3:Frantic, Frustrated & Female",8,654,26
317,Unknown,7,890,1
318,Unknown,8,4768,26
319,Unknown,8,8150,3
320,Kite,8,145,26
321,Najica Blitz Tactics,8,8229,12
322,Paradise Kiss,8,769,26
323,Paranoia Agent,7,1085,13
324,Patlabor:The Mobile Police - The TV Series,7,1063,26
325,Peach Girl:Super Pop Love Hurricane,7,3650,26
326,Pet Shop of Horrors,8,2492,4
327,Petite Princess Yucie,8,1819,26
328,Piano:The Melody of a Young Girl's Heart,8,8155,26
329,Planetes,7,219,26
330,Midori Days,8,2430,26
331,Magical Circle Guru Guru,8,1256,45
332,Magical Circle Guru Guru 2,8,2814,26
333,Mama is Just a Fourth Grade Pupil,8,2749,51
334,Marmalade Boy,8,1621,26
335,Mythical Detective Loki Ragnarok,8,2400,26
336,Unknown,7,6117,26
337,Psychic Academy,8,7178,26
338,The Rose of Versailles,8,206,40
339,Serial Experiments Lain,8,509,13
340,Time of Shura,7,1324,26
341,Spiral:Bond of Reasoning,8,2555,26
342,Unknown,7,3653,13
343,Tsukuyomi:Moon Phase,8,3657,26
344,Twin Spica,8,2034,26
345,Emma:A Victorian Romance,8,1097,12
346,Double Wish,8,7381,26
347,Wild Arms,8,5112,26
348,Bottle Fairy,8,6151,26
349,Magical Kanan,8,7413,13
350,Magical DoReMi,8,2738,51
351,Unknown,8,2141,49
352,More! Useless Witch Doremi,8,2166,26
353,Useless Witch Doremi Kaboom!,8,1294,26
354,Ultimate Girls,8,9317,12
355,Shakugan no Shana:Season I,8,1542,26
356,Fate/stay night,8,2152,26
357,Bludgeoning Angel Dokuro-chan,8,5415,4
358,Unknown,8,3675,26
359,I'll/CKBC,8,6894,26
360,Legend of Himiko,7,7165,12
361,Unknown,8,8448,26
362,Unknown,7,6891,3
363,Unknown,8,6963,26
364,Unknown,7,1675,26
365,Unknown,8,5693,1
366,Agent AIKa,8,8407,26
367,Unknown,8,3445,26
368,Unknown,8,987,26
369,Boogiepop Phantom,8,2899,26
370,Burn Up Excess,7,5634,26
371,Cardcaptor Sakura The Movie,7,1175,1
372,Card Captor Sakura Movie 2:The Sealed Card,7,291,1
373,All Purpose Cultural Cat Girl Nuku Nuku,8,4878,26
374,All Purpose Cultural Cat Girl Nuku Nuku Dash!,8,6540,26
375,All Purpose Cultural Cat Girl Nuku Nuku TV,8,5739,26
376,Elfen Lied:In the Passing Rain,7,2819,1
377,Unknown,8,4758,26
378,Unknown,8,5200,1
379,Excel Saga,8,1579,26
380,Mysterious Play OVA,8,2945,3
381,Mysterious Play OVA 2,8,2494,26
382,Step Up Love Story,8,6568,26
383,Unknown,7,3525,26
384,Gantz,8,3461,13
385,Gilgamesh,8,5142,26
386,Unknown,8,2499,41
387,Haibane Renmei,7,548,26
388,Unknown,8,765,26
389,Karas,7,1826,26
390,Suzuka,8,2698,26
391,Tales of Phantasia,8,4371,4
392,Yu Yu Hakusho:Ghost Files,8,127,26
393,Escaflowne:A Girl in Gaea,8,3284,1
394,Ai Yori Aoshi:Enishi,8,2938,26
395,Gantz:Second Stage,8,3291,26
396,Banner of the Stars,8,987,26
397,Banner of the Stars II,8,765,10
398,Unknown,8,1015,26
399,Unknown,8,2542,1
400,Outlaw Star,8,714,26
401,Samurai X:Reflection,8,542,26
402,Unknown,8,6006,1
403,Unknown,8,5297,26
404,Bastard!!,8,4679,26
405,Blood:The Last Vampire,8,3984,1
406,Unknown,8,5558,26
407,Detective School Q,7,906,26
408,Final Fantasy VII:Last Order,8,2216,1
411,Gun x Sword,7,2441,26
412,He is My Master,8,5600,26
413,Mars of Destruction,7,11058,1
415,My Neighbors the Yamadas,8,2811,1
416,Porco Rosso,8,564,26
417,Ragnarok the Animation,8,6033,26
418,"Ranma ½:Big Trouble in Nekonron, China",8,2519,1
419,Samurai Deeper Kyo,8,3924,26
420,Spriggan,7,5022,1
421,Unknown,7,5070,26
422,Unknown,7,4737,2
423,Unknown,8,4219,26
424,Dirty Pair,8,2840,26
425,Araiso Private High School Student Council Executive Committee,8,6235,26
426,Legend of the Crystals:Final Fantasy,7,7690,26
427,Kaleido Star,8,619,51
428,Kaleido Star:New Wings Extra Stage,8,1521,1
429,Kaleido Star:Legend of Phoenix - The Layla Hamilton Story,8,702,26
430,Fullmetal Alchemist:The Movie - Conqueror of Shamballa,8,1361,1
431,Howl's Moving Castle,8,51,26
432,Iria:Zeiram The Animation,8,3358,26
433,The Place Promised in Our Early Days,7,1393,1
434,Legend of Lemnear,8,9553,26
435,Magic Knight Rayearth,8,1700,26
437,Perfect Blue,8,112,1
438,Phantom:The Animation,7,5695,26
439,RG Veda,8,7600,26
440,Revolutionary Girl Utena,7,306,39
441,Revolutionary Girl Utena:The Adolescence of Utena,8,1279,26
442,Naruto the Movie:Ninja Clash in the Land of Snow,8,3203,1
443,Unknown,8,2262,26
444,Maria Watches Over Us:Printemps,8,1082,26
445,Tales of Eternia,8,7283,13
446,Knight Hunters Eternity,8,5458,26
447,Knight Hunters,8,4749,26
448,Tenjho Tenge:The Ultimate Fight,8,3423,26
449,InuYasha the Movie 4:Fire on the Mystic Island,8,1462,1
450,InuYasha the Movie 2:The Castle Beyond the Looking Glass,8,1128,26
451,InuYasha the Movie 3:Swords of an Honorable Ruler,8,828,26
452,InuYasha the Movie:Affections Touching Across Time,8,1388,1
454,.hack//Gift,8,7522,26
455,Fantastic Children,8,1414,26
456,Best Student Council,8,3844,26
457,Mushi-Shi,8,45,26
458,I Dream of Mimi,8,7141,3
459,Unknown,7,3182,1
460,One Piece:Clockwork Island Adventure,8,2874,26
461,One Piece:Chopper Kingdom of Strange Animal Island,7,3657,1
462,One Piece:Dead End,8,1292,1
463,One Piece:The Curse of the Sacred Sword,7,2624,26
464,One Piece:Baron Omatsuri and the Secret Island,8,1033,1
465,Unknown,8,2438,26
466,One Piece:Defeat the Pirate Ganzack!,8,4638,1
467,Ghost in the Shell:Stand Alone Complex,8,123,26
468,Ghost in the Shell 2:Innocence,8,792,26
469,Karin,7,2900,24
470,My Wife is a High School Girl,7,6686,13
471,To Heart 2,7,5782,26
472,To Heart,8,5397,26
473,Unknown,8,5108,26
474,Unknown,8,983,4
475,Unknown,7,3903,26
476,Skating Rink Kaleidoscope,8,2151,12
477,Aria the Animation,8,1051,26
478,Aquarion,8,3150,26
479,The Law of Ueki,8,910,26
481,Yu-Gi-Oh!,8,1668,224
482,Yu-Gi-Oh! GX,8,2966,180
483,Unknown,7,2132,26
484,Saiyuki:Requiem,8,2124,26
485,Unknown,8,2368,26
486,Kino's Journey,8,192,26
487,Girls Bravo:Second Season,7,5005,26
488,Strawberry Marshmallow,8,1127,26
489,Kamichu!,7,1902,12
490,Pani Poni Dash!,8,1721,26
492,Unknown,8,4179,1
493,Unknown,8,3267,26
495,Sorcerer Hunters,8,4842,26
496,Unknown,8,5261,1
497,"Yamibo:Darkness, The Hat and the Travelers of the Books",8,5512,26
498,Great Planet Evil-Destroyer Dangaio,8,7667,3
499,Demon City Shinjuku,8,7546,26
501,Unknown,8,2078,26
502,Dragon Ball:Curse of the Blood Rubies,8,4324,1
503,The Eternal Aseria,8,9653,26
504,Fatal Fury:The Motion Picture,8,5424,26
505,Unknown,8,2495,51
506,Unknown,8,2168,26
507,Unknown,8,3784,26
508,Hamtaro,8,3758,296
509,I My Me! Strawberry Eggs,8,4416,26
510,Kakyusei 2,7,8559,13
511,Moeyo Ken TV,8,7408,26
512,Kiki's Delivery Service,7,271,1
513,Castle in the Sky,8,220,1
514,Le Portrait de Petit Cossette,7,4238,26
515,Legend of Crystania:The Motion Picture,8,7989,26
